Last Sale,Heston_Call,Market_Vol,Calls,Vol,Bid,Open Int,Days,Date,Maturity Date,Ask,Heston_Vol,Strike,Diff,Net,Stock
0,0.9249999005494658,nan,17 Apr 108.00 (UPRO1713D108),0,0.1,0,30,18/03/17,17/04/17,4.7,nan,108,0.082191781,0,97.88
0,0.7817182344141873,nan,17 Apr 109.00 (UPRO1713D109),0,0,0,30,18/03/17,17/04/17,4.6,nan,109,0.082191781,0,97.88
0,0.5516436013803485,nan,17 Apr 111.00 (UPRO1713D111),0,0,0,30,18/03/17,17/04/17,4.8,nan,111,0.082191781,0,97.88
0,0.4607996499495748,nan,17 Apr 112.00 (UPRO1713D112),0,0,0,30,18/03/17,17/04/17,4.5,nan,112,0.082191781,0,97.88
0,0.38359000815853683,nan,17 Apr 113.00 (UPRO1713D113),0,0,0,30,18/03/17,17/04/17,4.8,nan,113,0.082191781,0,97.88
0,0.31831618678864704,nan,17 Apr 114.00 (UPRO1713D114),0,0,0,30,18/03/17,17/04/17,4.6,nan,114,0.082191781,0,97.88
0,0.2175099468893782,-2.1462418842490765,17 Apr 116.00 (UPRO1713D116),0,0,0,30,18/03/17,17/04/17,4.7,nan,116,0.082191781,0,97.88
0,0.1793085403309087,-2.7439169450497345,17 Apr 117.00 (UPRO1713D117),0,0,0,30,18/03/17,17/04/17,4.7,2.036809104150594,117,0.082191781,0,97.88
0,0.14769763367336086,nan,17 Apr 118.00 (UPRO1713D118),0,0,0,30,18/03/17,17/04/17,4.8,nan,118,0.082191781,0,97.88
0,0.12168603727419569,-1.0433427577227894,17 Apr 119.00 (UPRO1713D119),0,0,0,30,18/03/17,17/04/17,4.8,nan,119,0.082191781,0,97.88
0,0.08310274868260614,nan,17 Apr 121.00 (UPRO1713D121),0,0,0,30,18/03/17,17/04/17,4.7,nan,121,0.082191781,0,97.88
0,0.06912580093466203,nan,17 Apr 122.00 (UPRO1713D122),0,0,0,30,18/03/17,17/04/17,4.7,nan,122,0.082191781,0,97.88
0,0.05791707936015911,nan,17 Apr 123.00 (UPRO1713D123),0,0,0,30,18/03/17,17/04/17,4.8,nan,123,0.082191781,0,97.88
0,0.04900149228609396,nan,17 Apr 124.00 (UPRO1713D124),0,0,0,30,18/03/17,17/04/17,4.7,nan,124,0.082191781,0,97.88
0,23.91175324440711,nan,17 Apr 74.00 (UPRO1721D74),0,22.5,0,30,18/03/17,17/04/17,26.8,nan,74,0.082191781,0,97.88
0,21.920500097782067,3.4215184423525313,17 Apr 76.00 (UPRO1721D76),0,20.5,0,30,18/03/17,17/04/17,25,3.3237001099625694,76,0.082191781,0,97.88
0,0.023314892402996265,nan,17 Apr 135.00 (UPRO1728D135),0,0,0,30,18/03/17,17/04/17,4.7,nan,135,0.082191781,0,97.88
0,65.01074854927207,nan,17 Jun 33.00 (UPRO1716F33),0,63.5,0,91,18/03/17,17/06/17,68,nan,33,0.249315068,0,97.88
51.2,64.00649691680651,nan,17 Jun 34.00 (UPRO1716F34),0,62.5,11,91,18/03/17,17/06/17,67,nan,34,0.249315068,0,97.88
42.2,63.00242689485245,nan,17 Jun 35.00 (UPRO1716F35),0,61.5,12,91,18/03/17,17/06/17,66,nan,35,0.249315068,0,97.88
0,61.99852954926956,nan,17 Jun 36.00 (UPRO1716F36),0,60.5,0,91,18/03/17,17/06/17,65,nan,36,0.249315068,0,97.88
0,60.99479664479043,nan,17 Jun 37.00 (UPRO1716F37),0,59.5,0,91,18/03/17,17/06/17,64,nan,37,0.249315068,0,97.88
47.3,59.99122057232618,nan,17 Jun 38.00 (UPRO1716F38),0,58.5,66,91,18/03/17,17/06/17,63,nan,38,0.249315068,0,97.88
46.7,58.987794285629114,nan,17 Jun 39.00 (UPRO1716F39),0,57.6,10,91,18/03/17,17/06/17,62,nan,39,0.249315068,0,97.88
0,57.98451124585365,nan,17 Jun 40.00 (UPRO1716F40),0,56.6,0,91,18/03/17,17/06/17,61,nan,40,0.249315068,0,97.88
0,56.98136537283023,nan,17 Jun 41.00 (UPRO1716F41),0,55.5,0,91,18/03/17,17/06/17,60,nan,41,0.249315068,0,97.88
0,55.97835100215456,nan,17 Jun 42.00 (UPRO1716F42),0,54.5,0,91,18/03/17,17/06/17,59,nan,42,0.249315068,0,97.88
0,54.975462847416146,nan,17 Jun 43.00 (UPRO1716F43),0,53.5,0,91,18/03/17,17/06/17,58,nan,43,0.249315068,0,97.88
0,53.972695967072475,nan,17 Jun 44.00 (UPRO1716F44),0,52.5,0,91,18/03/17,17/06/17,57,nan,44,0.249315068,0,97.88
0,52.97004573575638,nan,17 Jun 45.00 (UPRO1716F45),0,51.5,0,91,18/03/17,17/06/17,56,nan,45,0.249315068,0,97.88
0,51.96750782029687,nan,17 Jun 46.00 (UPRO1716F46),0,50.5,0,91,18/03/17,17/06/17,55,nan,46,0.249315068,0,97.88
0,50.96507816154775,nan,17 Jun 47.00 (UPRO1716F47),0,49.5,0,91,18/03/17,17/06/17,54,nan,47,0.249315068,0,97.88
0,49.96275296441332,nan,17 Jun 48.00 (UPRO1716F48),0,48.5,0,91,18/03/17,17/06/17,53,nan,48,0.249315068,0,97.88
31.8,48.96052870046917,nan,17 Jun 49.00 (UPRO1716F49),0,47.5,2,91,18/03/17,17/06/17,52,nan,49,0.249315068,0,97.88
35.8,47.958402130704826,nan,17 Jun 50.00 (UPRO1716F50),0,46.5,29,91,18/03/17,17/06/17,51,nan,50,0.249315068,0,97.88
0,46.9563703604949,nan,17 Jun 51.00 (UPRO1716F51),0,45.5,0,91,18/03/17,17/06/17,50,nan,51,0.249315068,0,97.88
0,45.95443094540388,nan,17 Jun 52.00 (UPRO1716F52),0,44.5,0,91,18/03/17,17/06/17,49,nan,52,0.249315068,0,97.88
0,44.95258207512482,nan,17 Jun 53.00 (UPRO1716F53),0,43.5,0,91,18/03/17,17/06/17,48,nan,53,0.249315068,0,97.88
0,43.95082287389121,nan,17 Jun 54.00 (UPRO1716F54),0,42.5,0,91,18/03/17,17/06/17,47,nan,54,0.249315068,0,97.88
0,42.94915386905009,nan,17 Jun 55.00 (UPRO1716F55),0,41.6,0,91,18/03/17,17/06/17,46,nan,55,0.249315068,0,97.88
0,41.947577694589015,nan,17 Jun 56.00 (UPRO1716F56),0,40.5,0,91,18/03/17,17/06/17,45,nan,56,0.249315068,0,97.88
0,40.946100112355985,nan,17 Jun 57.00 (UPRO1716F57),0,39.6,0,91,18/03/17,17/06/17,44,nan,57,0.249315068,0,97.88
0,39.9447314489437,nan,17 Jun 58.00 (UPRO1716F58),0,38.5,0,91,18/03/17,17/06/17,43,nan,58,0.249315068,0,97.88
0,38.94348855873299,nan,17 Jun 59.00 (UPRO1716F59),0,37.6,0,91,18/03/17,17/06/17,42,nan,59,0.249315068,0,97.88
0,36.94149655775897,nan,17 Jun 61.00 (UPRO1716F61),0,35.5,0,91,18/03/17,17/06/17,40,nan,61,0.249315068,0,97.88
20.9,35.94084117085969,nan,17 Jun 62.00 (UPRO1716F62),0,34.5,27,91,18/03/17,17/06/17,39,nan,62,0.249315068,0,97.88
24.5,34.94050842824887,nan,17 Jun 63.00 (UPRO1716F63),0,33.5,3,91,18/03/17,17/06/17,38,nan,63,0.249315068,0,97.88
0,33.940603599109096,nan,17 Jun 64.00 (UPRO1716F64),0,32.6,0,91,18/03/17,17/06/17,37,nan,64,0.249315068,0,97.88
17.8,31.942683306274844,3.259141236401467,17 Jun 66.00 (UPRO1716F66),0,30.6,10,91,18/03/17,17/06/17,35.4,3.165231332954744,66,0.249315068,0,97.88
19.4,30.94508802549477,nan,17 Jun 67.00 (UPRO1716F67),0,30.5,49,91,18/03/17,17/06/17,33.9,nan,67,0.249315068,0,97.88
19.6,29.948779369617455,2.985864816616257,17 Jun 68.00 (UPRO1716F68),0,29,1,91,18/03/17,17/06/17,33.5,2.8778693287418036,68,0.249315068,0,97.88
19.7,28.954126774382473,2.847050251234927,17 Jun 69.00 (UPRO1716F69),0,28,4,91,18/03/17,17/06/17,32.5,2.742812956805309,69,0.249315068,0,97.88
15.9,26.971682087065147,2.584717197873174,17 Jun 71.00 (UPRO1716F71),0,26,4,91,18/03/17,17/06/17,30.5,2.4875421325672074,71,0.249315068,0,97.88
26.16,25.985069761310285,2.4640290869971158,17 Jun 72.00 (UPRO1716F72),0,25.1,3,91,18/03/17,17/06/17,29.5,2.3665733192523604,72,0.249315068,0,97.88
14.3,25.002487765640723,2.3653720528303803,17 Jun 73.00 (UPRO1716F73),0,24.7,306,91,18/03/17,17/06/17,28.5,2.249637297417646,73,0.249315068,0,97.88
46.21,73.13968555958768,nan,18 Jan 25.00 (UPRO1819A25),0,71.1,0,671,18/03/17,18/01/19,76,nan,25,1.838356164,0,97.88
38.5,68.12810682253709,nan,18 Jan 30.00 (UPRO1819A30),0,66.5,10,671,18/03/17,18/01/19,71,nan,30,1.838356164,0,97.88
1.25,2.3128389012504993,nan,18 Jan 140.00 (UPRO1819A140),0,0.45,10,671,18/03/17,18/01/19,3.2,nan,140,1.838356164,0,97.88
